n,t,v,q,pwm,fa
110,2.2,"[5.99e-16, 2.95e-16, -1.56]","[1, 2.67e-16, -5.31e-16, 1.97e-18]","[1.49e+03, 1.49e+03, 1.49e+03, 1.49e+03]","[5.54e-14, 2.76e-14, 5.31]"
111,2.22,"[7.38e-16, 3.65e-16, -1.53]","[1, 1.54e-16, -3.05e-16, 2e-18]","[1.49e+03, 1.49e+03, 1.49e+03, 1.49e+03]","[5.51e-14, 2.74e-14, 5.25]"
112,2.24,"[8.01e-16, 3.97e-16, -1.5]","[1, 4.01e-17, -7.66e-17, 2.04e-18]","[1.49e+03, 1.49e+03, 1.49e+03, 1.49e+03]","[5.13e-14, 2.56e-14, 5.18]"
113,2.26,"[7.9e-16, 3.92e-16, -1.47]","[1, -6.71e-17, 1.38e-16, 2.06e-18]","[1.49e+03, 1.49e+03, 1.49e+03, 1.49e+03]","[4.47e-14, 2.23e-14, 5.12]"
114,2.28,"[7.11e-16, 3.54e-16, -1.44]","[1, -1.62e-16, 3.27e-16, 2.07e-18]","[1.49e+03, 1.49e+03, 1.49e+03, 1.49e+03]","[3.59e-14, 1.79e-14, 5.06]"
115,2.3,"[5.75e-16, 2.86e-16, -1.41]","[1, -2.38e-16, 4.81e-16, 2.06e-18]","[1.49e+03, 1.49e+03, 1.49e+03, 1.49e+03]","[2.57e-14, 1.29e-14, 5]"
116,2.32,"[3.93e-16, 1.96e-16, -1.39]","[1, -2.94e-16, 5.92e-16, 2.01e-18]","[1.49e+03, 1.49e+03, 1.49e+03, 1.49e+03]","[1.5e-14, 7.62e-15, 4.94]"
117,2.34,"[1.82e-16, 9.05e-17, -1.36]","[1, -3.26e-16, 6.55e-16, 1.97e-18]","[1.49e+03, 1.49e+03, 1.49e+03, 1.49e+03]","[4.44e-15, 2.33e-15, 4.89]"
118,2.36,"[-4.41e-17, -2.2e-17, -1.33]","[1, -3.35e-16, 6.71e-16, 1.94e-18]","[1.49e+03, 1.49e+03, 1.49e+03, 1.49e+03]","[-5.29e-15, -2.51e-15, 4.83]"
119,2.38,"[-2.68e-16, -1.34e-16, -1.31]","[1, -3.21e-16, 6.42e-16, 1.93e-18]","[1.5e+03, 1.5e+03, 1.5e+03, 1.5e+03]","[-1.36e-14, -6.7e-15, 4.77]"
120,2.4,"[-4.76e-16, -2.38e-16, -1.28]","[1, -2.87e-16, 5.72e-16, 1.9e-18]","[1.5e+03, 1.5e+03, 1.5e+03, 1.5e+03]","[-2e-14, -9.91e-15, 4.72]"
121,2.42,"[-6.54e-16, -3.27e-16, -1.25]","[1, -2.36e-16, 4.7e-16, 1.92e-18]","[1.5e+03, 1.5e+03, 1.5e+03, 1.5e+03]","[-2.46e-14, -1.22e-14, 4.67]"
122,2.44,"[-7.94e-16, -3.98e-16, -1.23]","[1, -1.73e-16, 3.44e-16, 1.92e-18]","[1.5e+03, 1.5e+03, 1.5e+03, 1.5e+03]","[-2.7e-14, -1.35e-14, 4.61]"
123,2.46,"[-8.88e-16, -4.45e-16, -1.2]","[1, -1.03e-16, 2.04e-16, 1.92e-18]","[1.5e+03, 1.5e+03, 1.5e+03, 1.5e+03]","[-2.74e-14, -1.36e-14, 4.56]"
