n,t,v,q,pwm,fa
106,2.12,"[0.262, -0.000479, -5.51]","[0.999, -0.000458, -0.0514, 0.00333]","[1.97e+03, 1.97e+03, 2e+03, 1e+03]","[-0.834, -4.61e-08, 1.67]"
107,2.14,"[0.281, -0.000494, -5.61]","[0.999, -0.00038, -0.0505, 0.00338]","[1.95e+03, 1.95e+03, 2e+03, 1e+03]","[-0.843, 2.45e-10, 1.73]"
108,2.16,"[0.298, -0.000499, -5.69]","[0.999, -0.000457, -0.0486, 0.00342]","[1.25e+03, 1.75e+03, 2e+03, 1e+03]","[-0.856, -3.1e-08, 1.78]"
109,2.18,"[0.302, -0.00061, -5.66]","[0.999, -0.000793, -0.0442, 0.00343]","[1.46e+03, 1.46e+03, 2e+03, 1e+03]","[-0.88, -1.14e-06, 1.76]"
110,2.2,"[0.299, -0.000816, -5.57]","[0.999, -0.00123, -0.0376, 0.00342]","[1.03e+03, 1e+03, 1e+03, 2e+03]","[-0.915, -4.84e-06, 1.71]"
111,2.22,"[0.293, -0.00109, -5.46]","[1, -0.00153, -0.0302, 0.00338]","[1.43e+03, 1.43e+03, 1e+03, 2e+03]","[-0.953, -8.66e-06, 1.65]"
112,2.24,"[0.285, -0.00144, -5.37]","[1, -0.00163, -0.023, 0.00332]","[1.65e+03, 1e+03, 1e+03, 2e+03]","[-0.988, -9.81e-06, 1.59]"
113,2.26,"[0.275, -0.00177, -5.26]","[1, -0.00156, -0.0181, 0.00327]","[1.63e+03, 1e+03, 1e+03, 2e+03]","[-1.01, -8.23e-06, 1.52]"
114,2.28,"[0.265, -0.00209, -5.15]","[1, -0.00137, -0.0162, 0.00324]","[1.98e+03, 1e+03, 1e+03, 2e+03]","[-1.02, -5.22e-06, 1.46]"
115,2.3,"[0.255, -0.00238, -5.05]","[1, -0.0011, -0.0173, 0.00321]","[1.2e+03, 1.2e+03, 1e+03, 2e+03]","[-1.01, -2.32e-06, 1.41]"
116,2.32,"[0.245, -0.00258, -4.94]","[1, -0.000622, -0.0208, 0.00317]","[1.25e+03, 1e+03, 1e+03, 2e+03]","[-0.988, -1.02e-07, 1.34]"
117,2.34,"[0.234, -0.00268, -4.8]","[1, -0.000152, -0.025, 0.00313]","[1e+03, 2e+03, 1e+03, 1.67e+03]","[-0.968, 6.5e-07, 1.27]"
118,2.36,"[0.225, -0.00272, -4.66]","[1, 0.000197, -0.0289, 0.00309]","[1e+03, 2e+03, 1e+03, 1.04e+03]","[-0.95, 2.53e-06, 1.2]"
119,2.38,"[0.215, -0.00274, -4.51]","[0.999, 0.00046, -0.0321, 0.00305]","[1e+03, 2e+03, 1.96e+03, 1.27e+03]","[-0.936, 4.54e-06, 1.12]"
120,2.4,"[0.21, -0.00263, -4.42]","[0.999, 0.000642, -0.0348, 0.00301]","[1e+03, 2e+03, 2e+03, 1.33e+03]","[-0.925, 6.06e-06, 1.08]"
121,2.42,"[0.207, -0.00244, -4.36]","[0.999, 0.000766, -0.0377, 0.00298]","[1e+03, 1e+03, 2e+03, 1e+03]","[-0.915, 7.04e-06, 1.05]"
